Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,Bachelors,"$98,100","$212,100",60%
2,Operations Research & Industrial Engineering,Bachelors,"$101,200","$202,600",21%
3,Electrical Engineering & Computer Science (EECS),Bachelors,"$128,500","$192,300",45%
4,Interaction Design,Bachelors,"$77,400","$178,800",55%
5,Building Science,Bachelors,"$71,100","$172,400",46%
6,Applied Economics and Management,Bachelors,"$81,200","$169,300",47%
7,Actuarial Mathematics,Bachelors,"$71,200","$167,500",48%
8,Optical Science & Engineering,Bachelors,"$81,500","$166,400",73%
9,Quantitative Economics,Bachelors,"$78,400","$165,100",43%
10,Operations Research,Bachelors,"$94,900","$164,900",56%
11,Systems Engineering,Bachelors,"$89,700","$163,800",57%
12,Information & Computer Science,Bachelors,"$73,200","$162,900",65%
13,Public Accounting,Bachelors,"$71,500","$162,200",47%
14,Cognitive Science,Bachelors,"$80,300","$162,100",43%
15,Aeronautics & Astronautics,Bachelors,"$89,800","$161,600",60%
16,Aerospace Studies,Bachelors,"$64,500","$158,400",-
17,Pharmacy,Bachelors,"$71,500","$158,000",80%
18,Managerial Economics,Bachelors,"$78,200","$157,800",38%
19,Foreign Affairs,Bachelors,"$65,200","$157,700",32%
20,Political Economy,Bachelors,"$75,800","$156,700",30%
21,Chemical Engineering,Bachelors,"$87,700","$156,100",54%
21,Marine Transportation Management,Bachelors,"$78,500","$156,100",-
23,Computer Science (CS) & Engineering,Bachelors,"$93,500","$154,100",44%
24,Corporate Accounting & Finance,Bachelors,"$79,100","$154,000",-
25,Computer Engineering (CE),Bachelors,"$92,000","$153,800",46%
26,Electrical Power Engineering,Bachelors,"$87,200","$152,700",71%
27,Marine Engineering,Bachelors,"$89,400","$151,800",54%
28,Electrical & Computer Engineering (ECE),Bachelors,"$91,100","$151,300",48%
29,Econometrics,Bachelors,"$74,200","$150,900",35%
30,Actuarial Science,Bachelors,"$78,500","$150,000",41%
30,Astronomy,Bachelors,"$77,000","$150,000",52%
32,Mechatronics,Bachelors,"$83,300","$148,600",46%
33,Computational & Applied Mathematics,Bachelors,"$88,200","$148,200",46%
33,Construction Engineering Management,Bachelors,"$81,700","$148,200",52%
35,Aeronautical Engineering,Bachelors,"$86,500","$147,200",64%
35,Electrical Engineering (EE),Bachelors,"$87,500","$147,200",53%
37,Naval Architecture & Marine Engineering,Bachelors,"$85,300","$147,000",51%
38,Instrumentation & Control Engineering,Bachelors,"$83,800","$146,600",45%
38,Ocean Engineering (OE),Bachelors,"$80,300","$146,600",49%
40,Electrical & Electronics Engineering (EEE),Bachelors,"$86,300","$146,400",56%
41,Quantitative Business Analysis,Bachelors,"$86,300","$145,000",36%
42,Computer Science (CS) & Mathematics,Bachelors,"$82,800","$144,900",46%
43,Engineering Physics,Bachelors,"$80,900","$144,500",49%
44,Bioscience,Bachelors,"$61,700","$144,400",-
45,Computer Science (CS),Bachelors,"$88,400","$143,900",42%
46,Jazz Studies,Bachelors,"$63,800","$143,600",52%
47,Aeronautical/Aerospace Engineering Technology,Bachelors,"$84,500","$142,500",48%
48,Bioengineering (BioE),Bachelors,"$81,900","$142,100",66%
49,Management Science,Bachelors,"$75,500","$141,900",42%
50,Aerospace Engineering,Bachelors,"$85,900","$141,800",53%
51,Information Management,Bachelors,"$71,000","$141,400",35%
52,Metallurgical Engineering,Bachelors,"$93,200","$141,300",64%
53,Applied Mathematics,Bachelors,"$79,900","$141,100",40%
53,Operations Management & Information Systems,Bachelors,"$78,400","$141,100",41%
55,Chemical & Biomolecular Engineering,Bachelors,"$88,300","$140,900",52%
56,Mechanical & Aeronautical Engineering,Bachelors,"$84,200","$140,600",63%
57,Materials Science,Bachelors,"$79,000","$140,200",-
58,Engineering,Bachelors,"$80,000","$140,000",58%
59,Energy Management,Bachelors,"$69,700","$139,900",70%
60,Industrial & Systems Engineering,Bachelors,"$84,500","$139,600",48%
61,Materials Science & Engineering,Bachelors,"$83,700","$139,300",46%
62,Biomedical Engineering (BME),Bachelors,"$83,000","$139,000",71%
63,Welding Engineering,Bachelors,"$89,200","$138,700",-
64,Mining Engineering,Bachelors,"$87,400","$138,600",57%
65,Engineering Science,Bachelors,"$79,300","$138,500",48%
65,Industrial Hygiene,Bachelors,"$66,700","$138,500",55%
65,Nuclear Engineering,Bachelors,"$86,900","$138,500",57%
68,Paper Science,Bachelors,"$87,400","$138,000",43%
69,Industrial Engineering (IE),Bachelors,"$83,000","$137,800",44%
70,Robotics & Automation,Bachelors,"$74,700","$137,700",68%
70,Physics,Bachelors,"$77,900","$137,700",49%
